id,ideal weight,ideal size
16600,41.165644171779135,1
16601,59.87730061349692,1
16602,63.61963190184048,1
16603,63.61963190184048,1
16604,32.62875145083734,1
16605,48.65030674846626,1
16606,48.65030674846626,1
16607,65.80172413793102,3
16608,30.965517241379303,1
16609,358.10526315789565,6
24084,17.10606060606061,1
16611,0.0,1
16612,407.8040522448005,7
16613,407.8040522448005,5
16614,277.6023391812862,1
16615,307.47953216374316,1
16616,175.27286663260085,1
16617,84.89544428882667,2
16618,39.79411764705883,1
16619,85.5625,3
16620,17.1875,1
16621,10.576923076923077,1
16622,3.4770642201834865,1
16623,40.95833333333333,1
16624,32.64285714285714,1
16625,4605.426962070643,127
24106,6201.583818523707,107
16632,0.0,1
16633,21.22827172827173,1
16634,39659.0614597255,2508
16635,18.0,1
14237,15.0,10
24107,559.6749130891745,19
24097,43.56,1
15893,152.34999999999997,2
24108,46.4285714285714,1
24071,24.847826086956523,4
139382,37.0,16
131374,55.33333333333333,4
131375,10.016949152542374,1
131376,254.4955609362389,17
131378,578.7344827759053,40
24099,431.7830596098088,16
131381,4.256410256410256,2
131382,49.47456914670028,2
24109,49.289915966386566,1
139383,38.0,17
131391,93.90542244640602,6
131395,71.00675024108003,4
131396,85.55551710880432,5
131397,301.99008073817754,16
24034,385.08034421931296,9
139373,10.0,7
24110,360.2820069782299,14
139384,39.0,18
147525,137.95670588235296,29
24111,57.67563025210083,1
24032,44.20289855072464,1
139385,47.0,22
131444,3061.640018738771,126
147526,135.43670588235295,28
131451,0.0,1
131452,0.0,2
131454,39650.19812639216,2502
131455,36325.06382146915,2362
131456,32354.348229016257,2230
131457,35600.76803573075,2338
24112,388.27061378937543,15
139386,8.0,3
147527,132.91670588235297,27
15894,40.21276595744682,1
24113,38.146153846153844,1
139387,50.0,23
147528,115.27670588235296,22
139371,5.0,5
24100,173.77846392737695,6
24114,27.697478991596643,1
1004578,689.1372197122331,210
139388,54.0,24
24035,476.1039370740484,10
139374,12.0,8
24115,347.91779645191406,13
139389,55.0,25
24116,500.5071711536906,18
139390,58.0,27
24117,3.2692307692307687,1
139391,2.0,1
24118,641.9544896396587,20
139392,61.0,28
147533,60.311372549019616,10
128740,62.56,1
24101,90.9326923076923,3
24119,15.537142857142856,1
125486,3.609271523178808,1
139393,62.0,29
125487,3.609271523178808,2
147534,44.88533333333333,7
24036,1149.3809003366032,25
125488,548.2162162162153,4
24029,146.00927583108725,1
125489,544.9999999999991,3
139375,6.0,2
24120,61.37714285714284,2
139394,62.0,30
147535,44.88533333333333,6
128750,19.76810477657936,1
24121,415.4326923076923,1
128753,40.721343873517796,1
